Idiom,Sense,Idiomatic_Sent,Literal_Sent,Idiomatic_Label,Literal_Label
sit on the fence,delay or avoid making a decision or choice,"instead of sitting on the fence , why don ' t you list out the pros and cons so that you can reach a decision .","instead of delaying your decision , why don ' t you list out the pros and cons so that you can reach a decision .",O O B I O I O O O O O O O O O O O O O O O O O O O O,O O B I O O O O O O O O O O O O O O O O O O O O O
sit on the fence,delay or avoid making a decision or choice,"he did not want to say no to either of them , so he was just sitting on the fence .","he did not want to say no to either of them , so he was just sitting idle .",O O O O O O O O O O O O O O O O O B I I O,O O O O O O O O O O O O O O O O O B O
sit on the fence,delay or avoid making a decision or choice,"she did not know whether to say yes or no to the proposal , she was sitting on the fence .","she did not know whether to say yes or no to the proposal , she was indecisive .",O O O O O O O O O O O O O O O O B I O I O,O O O O O O O O O O O O O O O O B O
sit on the fence,delay or avoid making a decision or choice,"when two heavyweights have an argument , its best to sit on the fence and not make either of the turn against you .","when two heavyweights have an argument , its best to sit and watch and not make either of the turn against you .",O O O O O O O O O O O B O I O O O O O O O O O O,O O O O O O O O O O O O B O O O O O O O O O O
sit on the fence,delay or avoid making a decision or choice,"i was surprised when he came up with a decision , he usually just sits on the fence .","i was surprised when he came up with a decision , he usually just doesn ' t pick a side .",O O O O O O O O O O O O O O B I I I O,O O O O O O O O O O O O O O B I I I O I O
filthy rich,"Someone who is rich beyond measure.,","everyone is not able to get filthy rich like you , some people have to work hard for even mediocre success .","everyone is not able to get so rich like you , some people have to work hard for even mediocre success .",O O O O O O B O O O O O O O O O O O O O O O,O O O O O O B O O O O O O O O O O O O O O O
filthy rich,"Someone who is rich beyond measure.,","in spite of being filthy rich , friends say he does not exactly lavish her with gifts .","in spite of being extremely well off , friends say he does not exactly lavish her with gifts .",O O O O B I O O O O O O O O O O O O,O O O O B I I O O O O O O O O O O O O
filthy rich,"Someone who is rich beyond measure.,","to be filthy rich means that you can choose and buy whatever you want , window shopping is for the less fortunate . '","to be very wealthy means that you can choose and buy whatever you want , window shopping is for the less fortunate . '",O O B I O O O O O O O O O O O O O O O O O O O O,O O B I O O O O O O O O O O O O O O O O O O O O
head and shoulders above,to be much better than other people,"i ' m so proud of our boy , johnny - he was head and shoulders above the rest of his class in his school project .","i ' m so proud of our boy , johnny - he was significantly better than the rest of his class in his school project .",O O O O O O O O O O O O O B I I I O O O O O O O O O O,O O O O O O O O O O O O O B I I O O O O O O O O O O
head and shoulders above,to be much better than other people,"if you train harder and longer than everybody else , you ' ll be head and shoulders above the competition by the time the race comes around .","if you train harder and longer than everybody else , you ' ll be having an advantage above the competition by the time the race comes around .",O O O O O O O O O O O O O O B O I O O O O O O O O O O O,O O O O O O O O O O O O O O B I I O O O O O O O O O O O
head and shoulders above,to be much better than other people,there ' s no competition ; our team is simply head and shoulders above the rest .,there ' s no competition ; our team is simply way out ahead of the race .,O O O O O O O O O O B I I I O I O,O O O O O O O O O O B I I I O I O
head and shoulders above,to be much better than other people,for your needs it is head and shoulders above all the others in your price range .,for your needs it is on a level above all the others in your price range .,O O O O O B I I O O O O O O O O O,O O O O O B I I O O O O O O O O O
head and shoulders above,to be much better than other people,"if you want to be head and shoulders above the rest , you must work very hard .","if you want to be having an advantage above the rest , you must work very hard .",O O O O O B I I O O O O O O O O O O,O O O O O B I I O O O O O O O O O O
go after,to pursue somebody or something,leo has decided to go after his dreams with all that he has .,leo has decided to chase his dreams with all that he has .,O O O O B I O O O O O O O O,O O O O B O O O O O O O O
go after,to pursue somebody or something,"seeing that she was upset when she left , harry decided to go after his girlfriend .","seeing that she was upset when she left , harry decided to catch up to his girlfriend .",O O O O O O O O O O O O B I O O O,O O O O O O O O O O O O B I O O O O
go after,to pursue somebody or something,i begged him to go after his brother just to make sure that he was okay .,i begged him to catch up with his brother just to make sure that he was okay .,O O O O B I O O O O O O O O O O O,O O O O B I I O O O O O O O O O O O
go after,to pursue somebody or something,simon is going to have to go after his sister seeing as he is the one who got her upset in the first place .,simon is going to have to chase after his sister seeing as he is the one who got her upset in the first place .,O O O O O O B O O O O O O O O O O O O O O O O O O,O O O O O O B O O O O O O O O O O O O O O O O O O
ride high,to be quite excited and happy,why wouldn ' t the team be riding high !,why wouldn ' t the team be super confident !,O O O O O O O B I O,O O O O O O O B I O
ride high,to be quite excited and happy,someone is clearly riding high !,someone is clearly at a high point in their life !,O O O B O O,O O O B I O I I I I O
ride high,to be quite excited and happy,she ' s been riding high ever since the news came through !,she ' s been excited ever since the news came through !,O O O O B I O O O O O O O,O O O O B O O O O O O O
ride high,to be quite excited and happy,"girl , don ' t ride so high already !","girl , don ' t be so eager already !",O O O O O B O I O O,O O O O O B O I O O
ride high,being popular and doing quite well in their life,some feel that in high school they rode high whereas in college they became quieter and more reserved .,some feel that in high school they gained popularity whereas in college they became quieter and more reserved .,O O O O O O O B O O O O O O O O O O O,O O O O O O O B I O O O O O O O O O O
ride high,to be quite excited and happy,"now that the elections are almost here , supporter really seem to be riding high !","now that the elections are almost here , supporters really seem to be excited !",O O O O O O O O B O O O O I I O,O O O O O O O O B O O O O I O
on one's uppers,extremely short of money,the owner of blue dart was once on his uppers when he had a few thousands in his bank .,the owner of blue dart was once broke when he had a few thousands in his bank .,O O O O O O O B O I O O O O O O O O O O,O O O O O O O B O O O O O O O O O O
on one's uppers,extremely short of money,when i decided to go to a private university i knew i would be on my uppers trying to pay for it .,when i decided to go to a private university i knew i would be making ends meet trying to pay for it .,O O O O O O O O O O O O O O B I I O O O O O O,O O O O O O O O O O O O O O B I I O O O O O O
on one's uppers,extremely short of money,i feel like everyone will be on their upper ' s at one point before things start looking good after graduating during the pandemic .,i feel like everyone will be struggling financially at one point before things start looking good after graduating during the pandemic .,O O O O O O B I I I I O O O O O O O O O O O O O O,O O O O O O B I O O O O O O O O O O O O O O
on one's uppers,extremely short of money,derek was on his uppers right after college ended but he is now the owner of a successful tech company .,derek was extremely broke right after college ended but he is now the owner of a successful tech company .,O O B I I O O O O O O O O O O O O O O O O,O O B I O O O O O O O O O O O O O O O O
on one's uppers,extremely short of money,he helped his friend who was on his uppers & had no money to record his album .,he helped his friend who had no money to record his album .,O O O O O B I O I I O O O O O O O O,O O O O O O O O O O O O O
on the ball,understands the situation well,he was right on the ball regarding his assessment of the situation .,he was very knowledgable regarding his assessment of the situation .,O O B I O I O O O O O O O,O O B I O O O O O O O
on the ball,understands the situation well,"when his opponent tried to sneak in a pass , the defender was right on the ball and stopped it well .","when his opponent tried to sneak in a pass , the defender was right there and stopped it well .",O O O O O O O O O O O O O O B O I O O O O O,O O O O O O O O O O O O O O B O O O O O
on the ball,understands the situation well,this article about the current problems of the nation is right on the ball .,this article about the current problems of the nation is very accurate .,O O O O O O O O O O B I O I O,O O O O O O O O O O B I O
all day long,during all of the day,the beggar had to beg all day long before getting enough money to feed his hungry children .,the beggar had to beg the whole day before getting enough money to feed his hungry children .,O O O O O B O I O O O O O O O O O O,O O O O O O B O O O O O O O O O O O
all day long,during all of the day,after his innocence was proved he remains happy all day long yet careful .,after his innocence was proved he remains very happy yet careful .,O O O O O O O O B I I O O O,O O O O O O O B O O O O
all day long,during all of the day,"you can find shells of multiple shapes , colors and sizes on the beach all day long .","you can always find shells of multiple shapes , colors and sizes on the beach .",O O O O O O O O O O O O O O B I I O,O O B O O O O O O O O O O O O O
all day long,during all of the day,have no doubt that kicking on the shins is going to be a yellow card all day long .,have no doubt that kicking on the shins is always going to be a yellow card .,O O O O O O O O O O O O O O O B I I O,O O O O O O O O O B O O O O O O O
all day long,during all of the day,you can happily yet unproductively spend all day long in the never - ending world of social media .,you can happily yet unproductively spend the whole day in the never - ending world of social media .,O O O O O O B O I O O O O O O O O O O,O O O O O O O B O O O O O O O O O O O
over and above,to do more than what is expected,the teacher goes over and above for her students .,the teacher does more than what is expected for her students .,O O B I I I O O O O,O O B I I I I I O O O O
over and above,to do more than what is expected,"we will need another dozen biscuits , over and above what we already have , for the party on saturday .","we will need another dozen biscuits , in addition to what we already have , for the party on saturday .",O O O O O O O B I I O O O O O O O O O O O,O O O O O O O B I I O O O O O O O O O O O
over and above,to do more than what is expected,he earns another $ 500 over and above his salary every month by working overtime .,he earns another $ 500 in addition to his salary every month by working overtime .,O O O O O B I I O O O O O O O O,O O O O O B I I O O O O O O O O
over and above,to do more than what is expected,he has promised me $ 2000 over and above the asking price of the house if i have it painted before i move .,he has promised me $ 2000 in addition to the asking price of the house if i have it painted before i move .,O O O O O O B I I O O O O O O O O O O O O O O O,O O O O O O B I I O O O O O O O O O O O O O O O
shilly-shally,To be undecided,he is not shilly - shally about his plans to move to the united states of america .,he is not unsure about his plans to move to the united states of america .,O O O B I I O O O O O O O O O O O O,O O O B O O O O O O O O O O O O
shilly-shally,to spend too much time doing something or making a decision because you do not know what is the right thing to do:,stop taking so long to pick a choice and make a decision now !,stop shilly - shallying and make a decision now !,O B I I I I O I O O O O O O,O B I I O O O O O O
shilly-shally,to spend too much time doing something or making a decision because you do not know what is the right thing to do:,strange that people will have so much faith in such a indecisive decision making !,strange that people will have so much faith in shilly - shally !,O O O O O O O O O B I I I I O,O O O O O O O O O B I I O
shilly-shally,To be undecided,it was sheer indecisivness on his part .,it was sheer shilly - shally on his part .,O O O B O O O O,O O O B I I O O O O
on the other hand,from a different point of view,"it seems like a great building , on the other hand , you are displacing a lot of animals by building it .","it seems like a great building , from a different point of view , you are displacing a lot of animals by building it .",O O O O O O O B I I I O O O O O O O O O O O O,O O O O O O O B O I I O I O O O O O O O O O O O O
on the other hand,from a different point of view,"ou have a big wedding and but on the other hand , a small wedding would be more intimate .","ou have a big wedding and to introduce a different point of view , a small wedding would be more intimate .",O O O O O O B I I I I O O O O O O O O O,O O O O O O B I O I I I I O O O O O O O O O
on the other hand,from a different point of view,"on the one hand , i feel guilty for not inviting him and one the other hand","on the one hand , i feel guilty for not inviting him and in a contradicting point of view",O O O O O O O O O O O O O O O B O,O O O O O O O O O O O O O B I I I I I
ginger up,to get excited,as soon as they heard about the picnic the children in the class gingered up .,as soon as they heard about the picnic the children in the class get excited .,O O O O O O O O O O O O O B I O,O O O O O O O O O O O O O B I O
ginger up,to get excited,whenever she meets her sisters children she gingers up .,whenever she meets her sisters children she gets excited .,O O O O O O O B I O,O O O O O O O B I O
ginger up,to get excited,the children gingered up after class .,the children got excited after class .,O O B I O O O,O O B I O O O
nest egg,"an amount of money that has been saved, especially for future use",small but regular investments over a long period of time has helped me in building a decent nest egg .,small but regular investments over a long period of time has helped me in saving a decent amount of money for future use .,O O O O O O O O O O O O O O B O O I I O,O O O O O O O O O O O O O O B O O I O I I I I O
nest egg,"an amount of money that has been saved, especially for future use",the nest egg that he had built over the years helped him tide over his difficulties when he lost his job during the recession .,the savings that he had built over the years helped him tide over his difficulties when he lost his job during the recession .,O B I O O O O O O O O O O O O O O O O O O O O O O,O B O O O O O O O O O O O O O O O O O O O O O O
nest egg,"an amount of money that has been saved, especially for future use",he lost the nest egg he had built diligently over the years in a moment of madness when he invested it in a risky venture which failed .,he lost the saved money he had built diligently over the years in a moment of madness when he invested it in a risky venture which failed .,O O O B I O O O O O O O O O O O O O O O O O O O O O O O,O O O B I O O O O O O O O O O O O O O O O O O O O O O O
nest egg,"an amount of money that has been saved, especially for future use",he had built a sizable nest egg over the years and was ready to retire by the time he reached his forties . ',he had built a sizable amount of savings over the years and was ready to retire by the time he reached his forties . ',O O O O O B I O O O O O O O O O O O O O O O O O,O O O O O B I I O O O O O O O O O O O O O O O O O
out of action,unable to work or function temporarily,i ' m afraid i cannot tell you the account balance as the system is out of action .,i ' m afraid i cannot tell you the account balance as the system is not currently working .,O O O O O O O O O O O O O O O B I I O,O O O O O O O O O O O O O O O B I I O
out of action,unable to work or function temporarily,"after suffering an injury in his last match , the player was out of action for several months .","after suffering an injury in his last match , the player had to sit out for several months .",O O O O O O O O O O O B O I I O O O O,O O O O O O O O O O O B I I O O O O O
out of action,unable to work or function temporarily,they had to climb the stairs to the sixteenth floor of their apartment building since the lift was out of action .,they had to climb the stairs to the sixteenth floor of their apartment building since the lift was not working .,O O O O O O O O O O O O O O O O O O B O I O,O O O O O O O O O O O O O O O O O O B I O
out of action,unable to work or function temporarily,my boss suffered a freak accident and was out of action for a few months .,my boss suffered a freak accident and was unable to work for a few months .,O O O O O O O O B I I O O O O O,O O O O O O O O B I I O O O O O
out of action,unable to work or function temporarily,the illness he suffered from last year has kept him out of action for all this time .,the illness he suffered from last year has kept him from doing things all this time .,O O O O O O O O O O B I I I O O O O,O O O O O O O O O O O B I O O O O
out of action,unable to work or function temporarily,that car has been out of action for almost half the year and we don ' t know whether it would function reliably now .,that car hasn ' t been used for almost half the year and we don ' t know whether it would function reliably now .,O O B O I I I O O O O O O O O O O O O O O O O O O,O O B O O O I O O O O O O O O O O O O O O O O O O
out of action,unable to work or function temporarily,he had suffered from a heart attack a few months back and it has kept him out of action all the while . ',he had suffered from a heart attack a few months back and it has kept him bed - ridden all the while . ',O O O O O O O O O O O O O O O O B I I O O O O O,O O O O O O O O O O O O O O O O B I I O O O O O
mend fences,to try and improve a bad relationship with another party,"after the nasty fight with her sister , alice decided to mend fences by buying her sister some presents .","after the nasty fight with her sister , alice decided to repair the relationship by buying her sister some presents .",O O O O O O O O O O O B I O O O O O O O,O O O O O O O O O O O B O I O O O O O O O
mend fences,to try and improve a bad relationship with another party,it is always advisable to mend fences with colleagues at work immediately after a disagreement occurs .,it is always advisable to improve the relationship with colleagues at work immediately after a disagreement occurs .,O O O O O B I O O O O O O O O O O,O O O O O B I I O O O O O O O O O O
mend fences,to try and improve a bad relationship with another party,natalia is someone who is always willing to set her differences aside and mend fences with whomever she has had issues with .,natalia is someone who is always willing to set her differences aside and make up with whomever she has had issues with .,O O O O O O O O O O O O O B I O O O O O O O O,O O O O O O O O O O O O O B I O O O O O O O O
mend fences,to try and improve a bad relationship with another party,"why don ' t we forgive , forget and mend fences ?","why don ' t we forgive , forget and restore our relationship ?",O O O O O O O O O B I O,O O O O O O O O O B I I O
mend fences,to try and improve a bad relationship with another party,"when you hurt people with your actions , you should do everything you can to mend fences with them . '","when you hurt people with your actions , you should do everything you can to improve your relationship with them . '",O O O O O O O O O O O O O O O B I O O O O,O O O O O O O O O O O O O O O B O I O O O O
pass away,to refer to someone dying in order to avoid upsetting someone with the news of the death,martha let us know that our grandfather passed away two nights ago .,martha let us know that our grandfather died two nights ago .,O O O O O O O B I O O O O,O O O O O O O B O O O O
pass away,to refer to someone dying in order to avoid upsetting someone with the news of the death,i didn ' t take the news of my mom passing away too well .,i didn ' t take the news of my mom dying .,O O O O O O O O O O B I I I O,O O O O O O O O O O B O
pass away,to refer to someone dying in order to avoid upsetting someone with the news of the death,we didn ' t know how to tell amanda that her sister had passed away .,we didn ' t know how to tell amanda that her sister had died .,O O O O O O O O O O O O O B I O,O O O O O O O O O O O O O B O
pass away,to refer to someone dying in order to avoid upsetting someone with the news of the death,"as a doctor , the hardest part of my job is to tell people that their loved ones have passed away .","as a doctor , the hardest part of my job is to tell people that their loved ones have died .",O O O O O O O O O O O O O O O O O O O B I O,O O O O O O O O O O O O O O O O O O O B O
chill to the marrow,to be very scared,the movie gave me a chill to the marrow and i am not recommending it to anyone and it is horrible .,the movie made me very scared and i am not recommending it to anyone and it is horrible .,O O B O I I O O I O O O O O O O O O O O O O,O O B O I I O O O O O O O O O O O O O
chill to the marrow,to be very scared,"i get a chill to the marrow on even passing by that building , it is just so creepy .","i get so cold on even passing by that building , it is just so creepy .",O O B I I I I O O O O O O O O O O O O O,O O O B O O O O O O O O O O O O O
chill to the marrow,to be very scared,"after i came home from the horror movie , i could not sleep and even the slightest movement in the air was giving me a chill to the marrow .","after i came home from the horror movie , i could not sleep and even the slightest movement in the air was giving me a scare .",O O O O O O O O O O O O O O O O O O O O O O O O O B I O I O,O O O O O O O O O O O O O O O O O O O O O O O O O B O
chill to the marrow,to be very scared,raising your children alone without any support would have been so hard and i just think about it and it gives me a chill to the marrow .,raising your children alone without any support would have been so hard and i just think about it and it scares me .,O O O O O O O O O O O O O O O O O O O O B O I I I I I O,O O O O O O O O O O O O O O O O O O O O B O O
chill to the marrow,to be very scared,the sight was so dreadful that it has given me a chill to the marrow and i will never step in that street again . ',the sight was so dreadful that it has given me a huge scare and i will never step in that street again . ',O O O O O O O O O O O B I O I O O O O O O O O O O O,O O O O O O O O O O O B I O O O O O O O O O O O
chill to the marrow,to be very scared,the movie gave me a chill to the marrow and i am not recommending it to anyone and it is horrible .,the movie made me very scared and i am not recommending it to anyone and it is horrible .,O O B O I I O O I O O O O O O O O O O O O O,O O B O I I O O O O O O O O O O O O O
chill to the marrow,to be very scared,"i get a chill to the marrow on even passing by that building , it is just so creepy .","i get scared on even passing by that building , it is just so creepy .",O O B I I I I O O O O O O O O O O O O O,O O B O O O O O O O O O O O O O
chill to the marrow,to be very scared,"this play will give anyone a chill to the marrow and trust me , you do not want to go for it alone .","this play will give anyone a scare and trust me , you do not want to go for it alone .",O O O O O O B O I I O O O O O O O O O O O O O O,O O O O O O B O O O O O O O O O O O O O O
chill to the marrow,to be very scared,"after i came home from the horror movie , i could not sleep and even the slightest movement in the air was giving me a chill to the marrow .","after i came home from the horror movie , i could not sleep and even the slightest movement in the air was giving me a cold feeling .",O O O O O O O O O O O O O O O O O O O O O O O O O B I O I O,O O O O O O O O O O O O O O O O O O O O O O O O O B I O
chill to the marrow,to be very scared,raising your children alone without any support would have been so hard and i just think about it and it gives me a chill to the marrow .,raising your children alone without any support would have been so hard and i just think about it and it gives me cold chills .,O O O O O O O O O O O O O O O O O O O O O O B I I I I O,O O O O O O O O O O O O O O O O O O O O O O B I O
run out,to not have enough of something,i cannot believe that we have run out of milk ! just when i wanted to make a cup of tea .,i cannot believe that we have no milk left ! just when i wanted to make a cup of tea .,O O O O O O B I O O O O O O O O O O O O O O,O O O O O O B O I O O O O O O O O O O O O
run out,to not have enough of something,"i have run out of patients with him , he still has not completed the task that i gave him .","my patience with him has expired , he still has not completed the task that i gave him .",O B I I I I O O O O O O O O O O O O O O O,B I O O O I O O O O O O O O O O O O O
run out,to not have enough of something,we ran out of coffee again !,we have no coffee left again !,O B I I O O O,O B I O I O O
run out,to not have enough of something,don ' t run out of energy on your final race .,don ' t lose your energy on your final race .,O O O B I I O O O O O O,O O O B O O O O O O O
run out,to leave for a short period of time,"if someone is looking for me , please tell them that i have just run out for a second .","if someone is looking for me , please tell them that i have just left for a second .",O O O O O O O O O O O O O O B I O O O O,O O O O O O O O O O O O O O B O O O O
run out,to leave for a short period of time,"i am just going to run out quickly , i need to move my car before i get a parking ticket .","i am just going to leave and come back quickly , i need to move my car before i get a parking ticket .",O O O O O B I O O O O O O O O O O O O O O O,O O O O O B I I I O O O O O O O O O O O O O O O
run out,to leave for a short period of time,i ' m going to run out and get some coffee ; i ' ll be back later .,i ' m going to leave for a short time and get some coffee ; i ' ll be back later .,O O O O O B I O O O O O O O O O O O O,O O O O O B I I I I O O O O O O O O O O O O
run out,to leave for a short period of time,"run out and get us something to eat , would you ?","go out and get us something to eat , would you ?",B O O O O O O O O O O O,B O O O O O O O O O O O
run out,to leave someone behind (usually a romantic relationship),"i am all alone , my husband has run out on me .",my husband has left me .,B I I I I O O O I I I O O,O O O B O O
run out,to leave someone behind (usually a romantic relationship),"my dad ran out on us when we were very young , i was raised by my grandparents .","my dad left us when we were very young , i was raised by my grandparents .",O O B I I O O O O O O O O O O O O O O,O O B O O O O O O O O O O O O O O
run out,to leave someone behind (usually a romantic relationship),he ran out on his team when they were expecting help from him .,he left his team behind when they were expecting help from him .,O B I I O O O O O O O O O O,O B O O I O O O O O O O O
run out,to leave someone behind (usually a romantic relationship),his wife ran out on him when she found out about the affair .,his wife abandoned him when she found out about the affair .,O O B O I O O O O O O O O O,O O B O O O O O O O O O
run out,to not have enough of something,"i cannot believe that you let our insurance run out , what if we are in an accident ?","i cannot believe that you let our insurance expire , what if we are in an accident ?",O O O O O O O O B I O O O O O O O O O,O O O O O O O O B O O O O O O O O O
on edge,"to be nervous, tense or unable to relax","i hate working with my new colleague , who puts me on edge .","i hate working with my new colleague , who makes me tense .",O O O O O O O O O B O I I O,O O O O O O O O O B O I O
on edge,"to be nervous, tense or unable to relax",he is on edge because their test results should have been posted online hours ago .,he is anxious because their test results should have been posted online hours ago .,O O B I O O O O O O O O O O O O,O O B O O O O O O O O O O O O
on edge,irritable,i could tell sheila was on edge as the professor accused her of cheating on the exam .,i could tell sheila was irritated as the professor accused her of cheating on the exam .,O O O O O O B O O O O O O O O O O O,O O O O O B O O O O O O O O O O O
on edge,irritable,the current situation with the pandemic has every college student feeling helpless and on edge while they take classes from home .,the current situation with the pandemic has every college student feeling helpless and irritated while they take classes from home .,O O O O O O O O O O O O O B I O O O O O O O,O O O O O O O O O O O O O B O O O O O O O
on edge,irritable,sorry for shouting - i ' m a bit on edge today .,sorry for shouting - i ' m a bit irritated today .,O O O O O O O O O B I O O,O O O O O O O O O B O O
on edge,"to be nervous, tense or unable to relax","ever since the accident , she ' s been a little on edge when driving .","ever since the accident , she ' s been a little nervous when driving .",O O O O O O O O O O O B I O O O,O O O O O O O O O O O B O O O
stiff upper lip,to keep your emotions in control and not show when you are upset,it is hard to keep a stiff upper lip when everything is simply falling apart .,it is hard to not show your emotions when everything is simply falling apart .,O O O O B I I I I O O O O O O O,O O O O B I I I O O O O O O O
stiff upper lip,to keep your emotions in control and not show when you are upset,"when john saw his poor performance in the exams , he kept a stiff upper lip .","when john saw his poor performance in the exams , he kept calm not showing his frustration .",O O O O O O O O O O O O B I I I O,O O O O O O O O O O O O B I I O I O
stiff upper lip,to keep your emotions in control and not show when you are upset,"after being scolded by her parents in front of all her friends , lucy struggled to keep a stiff upper lip .","after being scolded by her parents in front of all her friends , lucy struggled to keep her emotions controlled .",O O O O O O O O O O O O O O O O O B I I I O,O O O O O O O O O O O O O O O O O O B I O
bring home the bacon,to return home with a reward at the end of the day,the lady next door keeps nagging her husband because she brings home the bacon .,the lady next door keeps nagging her husband because she brings home the majority of the money .,O O O O O O O O O O O O O B O,O O O O O O O O O O O O O B I O I O
bring home the bacon,to return home with a reward at the end of the day,the little girl practically brings home the bacon in her family .,the little girl practically brings home enough money for the family .,O O O O O O O B I I O O,O O O O O O B I I O O O
bring home the bacon,to return home with a reward at the end of the day,mrs clarke urged her son to go look for a job so that he can bring home the bacon .,mrs clarke urged her son to go look for a job so that he can have enough money to take care of his family .,O O O O O O O O O O O O O O O B I I I O,O O O O O O O O O O O O O O O B I I O I I I I I O
not hurt a fly or flea,To not be able to cause harm to anyone,"he is such an innocent little child , he could not hurt a fly .","he is such an innocent little child , he could not hurt anything .",O O O O O O O O O O O O B I O,O O O O O O O O O O O O B O
not hurt a fly or flea,To not be able to cause harm to anyone,she confessed that she would not hurt a flea unless she is provoked .,she confessed that she would not cause harm to anything unless she is provoked .,O O O O O O B I I O O O O O,O O O O O O B I I I O O O O O
not hurt a fly or flea,To not be able to cause harm to anyone,my kid is as sweet as honey and would not hurt a fly .,my kid is as sweet as honey and would not be able to hurt anything .,O O O O O O O O O O O B I O,O O O O O O O O O O B I I O I O
not hurt a fly or flea,To not be able to cause harm to anyone,"his dog is amongst the biggest ones that i have ever seen and and although he is constantly chewing on the home furniture , they say he would not hurt a fly '","his dog is amongst the biggest ones that i have ever seen and and although he is constantly chewing on the home furniture , they say he is harmless '",O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O
smack dab,precisely,we got our water balloons fully filled and threw smack dab at their heads .,we got our water balloons fully filled and threw precisely at their heads .,O O O O O O O O O B I O O O O,O O O O O O O O O B O O O O
smack dab,precisely,i want to own a farmhouse smack dab in the middle of woods near the city .,i want to own a farmhouse exactly in the middle of woods near the city .,O O O O O O B I O O O O O O O O O,O O O O O O B O O O O O O O O O
smack dab,precisely,john accidentally elbowed me smack dab on my nose .,john accidentally elbowed me right on my nose .,O O O O B I O O O O,O O O O B O O O O
smack dab,precisely,the parachute landed smack dab into the middle of the lake . ',the parachute landed precisely in the middle of the lake . ',O O O B I I O O O O O O O,O O O B I O O O O O O O
spanner in the works,a roadblock that prevents an activity from succeeding,the lack of power has thrown a spanner in the works regarding our ms - powerpoint presentation .,the lack of power has thrown us off our plans regarding our ms - powerpoint presentation .,O O O O O O B I I O I O O O O O O O,O O O O O O B I O I O O O O O O O
spanner in the works,a roadblock that prevents an activity from succeeding,that will really throw a spanner in the works .,that will really work against us .,O O O B I I I I I O,O O O B I I O
spanner in the works,a roadblock that prevents an activity from succeeding,the funding for the project was withdrawn so that really threw a spanner in the works .,the funding for the project was withdrawn so that is really a roadblock .,O O O O O O O O O O B O I I O I O,O O O O O O O O O B O O I O
a cut above,someone or something much better than someone else or something else,this diamond is a cut above the rest and you will like it because you have an expensive taste .,this diamond is noticeably greater than the rest and you will like it because you have an expensive taste .,O O O B I I O O O O O O O O O O O O O O,O O O B I I O O O O O O O O O O O O O O
a cut above,someone or something much better than someone else or something else,you think you are a cut above the rest but the reality is that you are just the same .,you think you are better than the rest but the reality is that you are just the same .,O O O O B I I O O O O O O O O O O O O O,O O O O B I O O O O O O O O O O O O O
